post_uri,post_url,post_cid,text,createdAt_post,indexedAt_post,embed,likeCount,repostCount,replyCount,did,handle,displayName,followersCount,followsCount,postsCount,createdAt_profile,indexedAt_profile,viewer_muted,viewer_following,viewer_blockedBy,labels,collectedAt,fake_news_label,fake_news_probs,emotions_raw,top_emotion,reliability_score,reliability_text
at://did:plc:afvwpslr5rfll7xlfhehi2is/app.bsky.feed.post/3lt4yte3jpk2z,https://bsky.app/profile/arealblackman.bsky.social/post/3lt4yte3jpk2z,bafyreib4su3xt7n3h5ajitt7neadxnu525fkvlje4zkftckr6dzorzchqy,"How? Not only did america start out conservative as fuck. Conservatives were able to manipulate most americans into the idea that cancel culture, identity politics, political correctness, etc were worse than nazis. How do democrats compete with that? Magic?",2025-07-04T10:10:04.175Z,2025-07-04T10:10:03.038Z,{},0,0,0,did:plc:afvwpslr5rfll7xlfhehi2is,arealblackman.bsky.social,The one they're afraid of.,0,0,0,2025-02-24T09:27:07.644Z,,False,,False,"""[]""",2025-07-04T10:10:31.636578Z,Vrai,"[0.11575198918581009, 0.8842480182647705]","[{""label"": ""admiration"", ""score"": 0.002663380466401577}, {""label"": ""amusement"", ""score"": 0.0016575047047808766}, {""label"": ""anger"", ""score"": 0.07703440636396408}, {""label"": ""annoyance"", ""score"": 0.318360835313797}, {""label"": ""approval"", ""score"": 0.012779348529875278}, {""label"": ""caring"", ""score"": 0.001283941208384931}, {""label"": ""confusion"", ""score"": 0.14839906990528107}, {""label"": ""curiosity"", ""score"": 0.4009925127029419}, {""label"": ""desire"", ""score"": 0.0018740291707217693}, {""label"": ""disappointment"", ""score"": 0.02931627258658409}, {""label"": ""disapproval"", ""score"": 0.02726595848798752}, {""label"": ""disgust"", ""score"": 0.019241271540522575}, {""label"": ""embarrassment"", ""score"": 0.003857215167954564}, {""label"": ""excitement"", ""score"": 0.0014917422086000443}, {""label"": ""fear"", ""score"": 0.0017541233683004975}, {""label"": ""gratitude"", ""score"": 0.0004048753762617707}, {""label"": ""grief"", ""score"": 0.0005174438119865954}, {""label"": ""joy"", ""score"": 0.0005514335935004056}, {""label"": ""love"", ""score"": 0.0008800756186246872}, {""label"": ""nervousness"", ""score"": 0.0009246246772818267}, {""label"": ""optimism"", ""score"": 0.00438576890155673}, {""label"": ""pride"", ""score"": 0.00015290839655790478}, {""label"": ""realization"", ""score"": 0.009040355682373047}, {""label"": ""relief"", ""score"": 0.0001934699685079977}, {""label"": ""remorse"", ""score"": 0.0003283779078628868}, {""label"": ""sadness"", ""score"": 0.0022685036528855562}, {""label"": ""surprise"", ""score"": 0.013782201334834099}, {""label"": ""neutral"", ""score"": 0.27395904064178467}]",curiosity,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:jozbvujamf4wilcugofdudg7/app.bsky.feed.post/3lt4yqkb5ak25,https://bsky.app/profile/plasticfreehackney.bsky.social/post/3lt4yqkb5ak25,bafyreiho27ornemd4gfunvi7v2afqwam7v3clo3lxcgrmwnzjab2qkjnx4,Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law. action.wemove.eu/sign/2025-07...,2025-07-04T10:08:29.986Z,2025-07-04T10:08:36.836Z,"""external=External(description='Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law.', title='No more \u201cgreen\u201d lies! Don\u2019t let the EU kill the anti-greenwashing law.', uri='https://action.wemove.eu/sign/2025-07-antigreenwashing-directive-petition-EN?akid=s6344428..z91Gkl', thumb=BlobRef(mime_type='image/jpeg', size=506512, ref=IpldLink(link='bafkreib5v7fkonar7ioqvsgscvlut3j6w4zvhwro2rfpicfazktkwvdjoi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:jozbvujamf4wilcugofdudg7,plasticfreehackney.bsky.social,,0,0,0,2025-01-15T14:23:33.742Z,,False,,False,"""[]""",2025-07-04T10:10:31.639683Z,Vrai,"[0.0394713468849659, 0.9605286717414856]","[{""label"": ""admiration"", ""score"": 0.0016839979216456413}, {""label"": ""amusement"", ""score"": 0.0004929915885441005}, {""label"": ""anger"", ""score"": 0.002944828011095524}, {""label"": ""annoyance"", ""score"": 0.018479641526937485}, {""label"": ""approval"", ""score"": 0.1468077301979065}, {""label"": ""caring"", ""score"": 0.0038647360634058714}, {""label"": ""confusion"", ""score"": 0.03288692981004715}, {""label"": ""curiosity"", ""score"": 0.0952862799167633}, {""label"": ""desire"", ""score"": 0.012852080166339874}, {""label"": ""disappointment"", ""score"": 0.004153320100158453}, {""label"": ""disapproval"", ""score"": 0.012715266086161137}, {""label"": ""disgust"", ""score"": 0.001028468948788941}, {""label"": ""embarrassment"", ""score"": 0.00031061909976415336}, {""label"": ""excitement"", ""score"": 0.0015789128374308348}, {""label"": ""fear"", ""score"": 0.0007361075258813798}, {""label"": ""gratitude"", ""score"": 0.0002150461805285886}, {""label"": ""grief"", ""score"": 0.00022939361224416643}, {""label"": ""joy"", ""score"": 0.0006083790794946253}, {""label"": ""love"", ""score"": 0.0009232826996594667}, {""label"": ""nervousness"", ""score"": 0.0004140225937590003}, {""label"": ""optimism"", ""score"": 0.018010180443525314}, {""label"": ""pride"", ""score"": 0.0001908539270516485}, {""label"": ""realization"", ""score"": 0.010561616159975529}, {""label"": ""relief"", ""score"": 0.0003708678123075515}, {""label"": ""remorse"", ""score"": 0.00024312899040523916}, {""label"": ""sadness"", ""score"": 0.0009736286010593176}, {""label"": ""surprise"", ""score"": 0.0009408761980012059}, {""label"": ""neutral"", ""score"": 0.6617394685745239}]",neutral,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:zhsth4rhd74bttft2hl2oapx/app.bsky.feed.post/3lt4yppuqqc2n,https://bsky.app/profile/shanesaysstuff.bsky.social/post/3lt4yppuqqc2n,bafyreibd64yeaztrp2kgjev7jepkdiigzucyk3ask6ks7546sgxt7njv3y,Why so much despair? We are on the road to extinction we put profit over people and planet our entire political system is bought and paid for by the parasites sacrificing everything for profit There is legal obligation to cause our extinction companies can be sued for not letting enough people die,2025-07-04T10:08:02.318Z,2025-07-04T10:08:04.438Z,{},0,0,0,did:plc:zhsth4rhd74bttft2hl2oapx,shanesaysstuff.bsky.social,,0,0,0,2024-11-25T02:27:42.846Z,,False,,False,"""[]""",2025-07-04T10:10:31.640380Z,Vrai,"[0.00556792039424181, 0.9944320321083069]","[{""label"": ""admiration"", ""score"": 0.0014249266823753715}, {""label"": ""amusement"", ""score"": 0.002277869265526533}, {""label"": ""anger"", ""score"": 0.015291261486709118}, {""label"": ""annoyance"", ""score"": 0.07888796925544739}, {""label"": ""approval"", ""score"": 0.009164062328636646}, {""label"": ""caring"", ""score"": 0.00922047533094883}, {""label"": ""confusion"", ""score"": 0.08827807754278183}, {""label"": ""curiosity"", ""score"": 0.11563978344202042}, {""label"": ""desire"", ""score"": 0.005104787647724152}, {""label"": ""disappointment"", ""score"": 0.49705204367637634}, {""label"": ""disapproval"", ""score"": 0.04283980652689934}, {""label"": ""disgust"", ""score"": 0.0052394806407392025}, {""label"": ""embarrassment"", ""score"": 0.0057114502415061}, {""label"": ""excitement"", ""score"": 0.0017626063199713826}, {""label"": ""fear"", ""score"": 0.02343210205435753}, {""label"": ""gratitude"", ""score"": 0.0003599977062549442}, {""label"": ""grief"", ""score"": 0.008095146156847477}, {""label"": ""joy"", ""score"": 0.0017484232084825635}, {""label"": ""love"", ""score"": 0.002746125217527151}, {""label"": ""nervousness"", ""score"": 0.04215554893016815}, {""label"": ""optimism"", ""score"": 0.013021226041018963}, {""label"": ""pride"", ""score"": 0.00023772887652739882}, {""label"": ""realization"", ""score"": 0.013331223279237747}, {""label"": ""relief"", ""score"": 0.0013401941396296024}, {""label"": ""remorse"", ""score"": 0.00891054980456829}, {""label"": ""sadness"", ""score"": 0.4498519003391266}, {""label"": ""surprise"", ""score"": 0.004584901966154575}, {""label"": ""neutral"", ""score"": 0.1281699240207672}]",disappointment,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:cr7sewfu2zvxy5aejyiv2u4v/app.bsky.feed.post/3lt4yovtufc23,https://bsky.app/profile/edbrentnall.bsky.social/post/3lt4yovtufc23,bafyreigj2fx7tzejqqxgsucre2znk64pbesewl55xcstnt23l5gqu66fty,Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law. action.wemove.eu/sign/2025-07...,2025-07-04T10:07:35.024Z,2025-07-04T10:07:38.338Z,"""external=External(description='Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law.', title='No more \u201cgreen\u201d lies! Don\u2019t let the EU kill the anti-greenwashing law.', uri='https://action.wemove.eu/sign/2025-07-antigreenwashing-directive-petition-EN?akid=s6344423..qhNPow', thumb=BlobRef(mime_type='image/jpeg', size=285614, ref=IpldLink(link='bafkreiavrql5qipb5nnwnf6rpuj6b3rnbh2aj2mw3bxdepjypk6o3kh6tq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:cr7sewfu2zvxy5aejyiv2u4v,edbrentnall.bsky.social,Ed Brentnall,0,0,0,2024-10-17T15:03:16.010Z,,False,,False,"""[]""",2025-07-04T10:10:31.640623Z,Vrai,"[0.0394713468849659, 0.9605286717414856]","[{""label"": ""admiration"", ""score"": 0.0016839979216456413}, {""label"": ""amusement"", ""score"": 0.0004929915885441005}, {""label"": ""anger"", ""score"": 0.002944828011095524}, {""label"": ""annoyance"", ""score"": 0.018479641526937485}, {""label"": ""approval"", ""score"": 0.1468077301979065}, {""label"": ""caring"", ""score"": 0.0038647360634058714}, {""label"": ""confusion"", ""score"": 0.03288692981004715}, {""label"": ""curiosity"", ""score"": 0.0952862799167633}, {""label"": ""desire"", ""score"": 0.012852080166339874}, {""label"": ""disappointment"", ""score"": 0.004153320100158453}, {""label"": ""disapproval"", ""score"": 0.012715266086161137}, {""label"": ""disgust"", ""score"": 0.001028468948788941}, {""label"": ""embarrassment"", ""score"": 0.00031061909976415336}, {""label"": ""excitement"", ""score"": 0.0015789128374308348}, {""label"": ""fear"", ""score"": 0.0007361075258813798}, {""label"": ""gratitude"", ""score"": 0.0002150461805285886}, {""label"": ""grief"", ""score"": 0.00022939361224416643}, {""label"": ""joy"", ""score"": 0.0006083790794946253}, {""label"": ""love"", ""score"": 0.0009232826996594667}, {""label"": ""nervousness"", ""score"": 0.0004140225937590003}, {""label"": ""optimism"", ""score"": 0.018010180443525314}, {""label"": ""pride"", ""score"": 0.0001908539270516485}, {""label"": ""realization"", ""score"": 0.010561616159975529}, {""label"": ""relief"", ""score"": 0.0003708678123075515}, {""label"": ""remorse"", ""score"": 0.00024312899040523916}, {""label"": ""sadness"", ""score"": 0.0009736286010593176}, {""label"": ""surprise"", ""score"": 0.0009408761980012059}, {""label"": ""neutral"", ""score"": 0.6617394685745239}]",neutral,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:zuza4svfdzehipen2dwmvtv3/app.bsky.feed.post/3lt4yoivoic2d,https://bsky.app/profile/lauraraison.bsky.social/post/3lt4yoivoic2d,bafyreieboeuwlql5c6oo53zelqjnbqkfejbpneisordct7vjmryc7ycowy,Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law. action.wemove.eu/sign/2025-07...,2025-07-04T10:07:21.451Z,2025-07-04T10:07:25.638Z,"""external=External(description='Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law.', title='No more \u201cgreen\u201d lies! Don\u2019t let the EU kill the anti-greenwashing law.', uri='https://action.wemove.eu/sign/2025-07-antigreenwashing-directive-petition-EN?akid=s6344421..G7yWuo', thumb=BlobRef(mime_type='image/jpeg', size=506512, ref=IpldLink(link='bafkreib5v7fkonar7ioqvsgscvlut3j6w4zvhwro2rfpicfazktkwvdjoi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:zuza4svfdzehipen2dwmvtv3,lauraraison.bsky.social,,0,0,0,2024-11-22T10:14:59.752Z,,False,,False,"""[]""",2025-07-04T10:10:31.640938Z,Vrai,"[0.0394713468849659, 0.9605286717414856]","[{""label"": ""admiration"", ""score"": 0.0016839979216456413}, {""label"": ""amusement"", ""score"": 0.0004929915885441005}, {""label"": ""anger"", ""score"": 0.002944828011095524}, {""label"": ""annoyance"", ""score"": 0.018479641526937485}, {""label"": ""approval"", ""score"": 0.1468077301979065}, {""label"": ""caring"", ""score"": 0.0038647360634058714}, {""label"": ""confusion"", ""score"": 0.03288692981004715}, {""label"": ""curiosity"", ""score"": 0.0952862799167633}, {""label"": ""desire"", ""score"": 0.012852080166339874}, {""label"": ""disappointment"", ""score"": 0.004153320100158453}, {""label"": ""disapproval"", ""score"": 0.012715266086161137}, {""label"": ""disgust"", ""score"": 0.001028468948788941}, {""label"": ""embarrassment"", ""score"": 0.00031061909976415336}, {""label"": ""excitement"", ""score"": 0.0015789128374308348}, {""label"": ""fear"", ""score"": 0.0007361075258813798}, {""label"": ""gratitude"", ""score"": 0.0002150461805285886}, {""label"": ""grief"", ""score"": 0.00022939361224416643}, {""label"": ""joy"", ""score"": 0.0006083790794946253}, {""label"": ""love"", ""score"": 0.0009232826996594667}, {""label"": ""nervousness"", ""score"": 0.0004140225937590003}, {""label"": ""optimism"", ""score"": 0.018010180443525314}, {""label"": ""pride"", ""score"": 0.0001908539270516485}, {""label"": ""realization"", ""score"": 0.010561616159975529}, {""label"": ""relief"", ""score"": 0.0003708678123075515}, {""label"": ""remorse"", ""score"": 0.00024312899040523916}, {""label"": ""sadness"", ""score"": 0.0009736286010593176}, {""label"": ""surprise"", ""score"": 0.0009408761980012059}, {""label"": ""neutral"", ""score"": 0.6617394685745239}]",neutral,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:sagho3bpxeok5xfanc7srh35/app.bsky.feed.post/3lt4ynfad2c23,https://bsky.app/profile/wilburunion.bsky.social/post/3lt4ynfad2c23,bafyreihvdlbsuvki46zvh6sukg3ndjd2o3fswxupxl4l2j2gxvgkglupeu,Why do you think being a town square crier is supposed to accomplish anything. How about a legal analysis and political plan like sadpac.com.  See also bsky.app/profile/wilb...,2025-07-04T10:06:44.043Z,2025-07-04T10:06:47.838Z,"""media=Main(external=External(description='', title='How to get on with Saving American Democracy | Saving American Democracy (Mobile device => \""Request Desktop Site\"" to use this site)', uri='https://sadpac.com', thumb=None, py_type='app.bsky.embed.external#external'), py_type='app.bsky.embed.external') record=Main(record=Main(cid='bafyreiexgg5i4j7jlrfsdzvcygtd3dn6byiol7v67eywydrgvn5rucms6y', uri='at://did:plc:sagho3bpxeok5xfanc7srh35/app.bsky.feed.post/3lt4us3e7x224', py_type='com.atproto.repo.strongRef'), py_type='app.bsky.embed.record') py_type='app.bsky.embed.recordWithMedia'""",0,0,0,did:plc:sagho3bpxeok5xfanc7srh35,wilburunion.bsky.social,,0,0,0,2024-11-16T04:54:50.371Z,,False,,False,"""[]""",2025-07-04T10:10:31.641147Z,Vrai,"[0.007121412083506584, 0.9928786158561707]","[{""label"": ""admiration"", ""score"": 0.001349455676972866}, {""label"": ""amusement"", ""score"": 0.0012619183398783207}, {""label"": ""anger"", ""score"": 0.004552592057734728}, {""label"": ""annoyance"", ""score"": 0.029089592397212982}, {""label"": ""approval"", ""score"": 0.007799538783729076}, {""label"": ""caring"", ""score"": 0.001362973707728088}, {""label"": ""confusion"", ""score"": 0.241187185049057}, {""label"": ""curiosity"", ""score"": 0.42394962906837463}, {""label"": ""desire"", ""score"": 0.0009012101218104362}, {""label"": ""disappointment"", ""score"": 0.00458077946677804}, {""label"": ""disapproval"", ""score"": 0.01143166795372963}, {""label"": ""disgust"", ""score"": 0.0012685389956459403}, {""label"": ""embarrassment"", ""score"": 0.0008582146256230772}, {""label"": ""excitement"", ""score"": 0.001106342184357345}, {""label"": ""fear"", ""score"": 0.0008623850299045444}, {""label"": ""gratitude"", ""score"": 0.00038255128310993314}, {""label"": ""grief"", ""score"": 0.00026149905170314014}, {""label"": ""joy"", ""score"": 0.0005948925972916186}, {""label"": ""love"", ""score"": 0.0004403379571158439}, {""label"": ""nervousness"", ""score"": 0.000494292180519551}, {""label"": ""optimism"", ""score"": 0.0036321780644357204}, {""label"": ""pride"", ""score"": 6.517269503092393e-05}, {""label"": ""realization"", ""score"": 0.006070687901228666}, {""label"": ""relief"", ""score"": 0.00013909985136706382}, {""label"": ""remorse"", ""score"": 0.00030315108597278595}, {""label"": ""sadness"", ""score"": 0.0010785459307953715}, {""label"": ""surprise"", ""score"": 0.007378684356808662}, {""label"": ""neutral"", ""score"": 0.5709976553916931}]",neutral,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:otlhvherlegf5ewb6di6b7yb/app.bsky.feed.post/3lt4ymtgxd224,https://bsky.app/profile/scott1gray.bsky.social/post/3lt4ymtgxd224,bafyreia2fszyliglez45gyb5v367kwg2j5ncw2rtqiy32t4h45c7ewsmni,There are very few political leaders in Britain that people actually *like*. Jeremy Corbyn is one. Nigel Farage is another. The Left need their symbols just as much as the Right.,2025-07-04T10:06:25.396Z,2025-07-04T10:06:25.537Z,{},0,0,0,did:plc:otlhvherlegf5ewb6di6b7yb,scott1gray.bsky.social,Scott Gray,0,0,0,2023-07-22T12:02:30.869Z,,False,,False,"""[]""",2025-07-04T10:10:31.641947Z,Vrai,"[0.0014671608805656433, 0.998532772064209]","[{""label"": ""admiration"", ""score"": 0.002624147804453969}, {""label"": ""amusement"", ""score"": 0.0005893416819162667}, {""label"": ""anger"", ""score"": 0.0024377924855798483}, {""label"": ""annoyance"", ""score"": 0.019043592736124992}, {""label"": ""approval"", ""score"": 0.07267884165048599}, {""label"": ""caring"", ""score"": 0.0007104848045855761}, {""label"": ""confusion"", ""score"": 0.003981154412031174}, {""label"": ""curiosity"", ""score"": 0.000922461855225265}, {""label"": ""desire"", ""score"": 0.00103145488537848}, {""label"": ""disappointment"", ""score"": 0.008899831213057041}, {""label"": ""disapproval"", ""score"": 0.04367992654442787}, {""label"": ""disgust"", ""score"": 0.002132927533239126}, {""label"": ""embarrassment"", ""score"": 0.0004621892294380814}, {""label"": ""excitement"", ""score"": 0.0005918620736338198}, {""label"": ""fear"", ""score"": 0.00028665235731750727}, {""label"": ""gratitude"", ""score"": 0.000343858526321128}, {""label"": ""grief"", ""score"": 0.00021719707001466304}, {""label"": ""joy"", ""score"": 0.0007302698795683682}, {""label"": ""love"", ""score"": 0.001689784461632371}, {""label"": ""nervousness"", ""score"": 0.00013723406300414354}, {""label"": ""optimism"", ""score"": 0.002449418418109417}, {""label"": ""pride"", ""score"": 0.0002553813683334738}, {""label"": ""realization"", ""score"": 0.02293965592980385}, {""label"": ""relief"", ""score"": 0.0003037939895875752}, {""label"": ""remorse"", ""score"": 0.0002747148973867297}, {""label"": ""sadness"", ""score"": 0.001361160189844668}, {""label"": ""surprise"", ""score"": 0.0005047966842539608}, {""label"": ""neutral"", ""score"": 0.8597512245178223}]",neutral,0.0,Ce tweet a un score de fiabilité de 0.0%.
at://did:plc:yxygcmg2hmyfvvgu3xl2l444/app.bsky.feed.post/3lt4ymqhdqs2k,https://bsky.app/profile/biggienotsmalls.bsky.social/post/3lt4ymqhdqs2k,bafyreibh6yxaifa4j54wmonfk7oztu3u7mtfys2g2rcxnawvhl4ex7dnmi,This is a political time to wake up EVERYDAY prepared to Speak Truth to Power!.....,2025-07-04T10:06:22.255Z,2025-07-04T10:06:25.336Z,"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=159882, ref=IpldLink(link='bafkreiarv27qwvjiq7fgju7qsuafiabcr4v2wfizlp3765xo4if76bpfbm'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=923, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""",12,2,1,did:plc:yxygcmg2hmyfvvgu3xl2l444,biggienotsmalls.bsky.social,Biggie,0,0,0,2024-11-15T20:37:39.722Z,,False,,False,"""[]""",2025-07-04T10:10:31.642133Z,Faux,"[0.9980918765068054, 0.0019081005593761802]","[{""label"": ""admiration"", ""score"": 0.038112491369247437}, {""label"": ""amusement"", ""score"": 0.0010402918560430408}, {""label"": ""anger"", ""score"": 0.0014757047174498439}, {""label"": ""annoyance"", ""score"": 0.00862958561629057}, {""label"": ""approval"", ""score"": 0.3518620431423187}, {""label"": ""caring"", ""score"": 0.00262450217269361}, {""label"": ""confusion"", ""score"": 0.0014221706660464406}, {""label"": ""curiosity"", ""score"": 0.003082090290263295}, {""label"": ""desire"", ""score"": 0.013272956945002079}, {""label"": ""disappointment"", ""score"": 0.0018849866464734077}, {""label"": ""disapproval"", ""score"": 0.0030551361851394176}, {""label"": ""disgust"", ""score"": 0.0010296930558979511}, {""label"": ""embarrassment"", ""score"": 0.00036682060454040766}, {""label"": ""excitement"", ""score"": 0.04293910786509514}, {""label"": ""fear"", ""score"": 0.0007818256854079664}, {""label"": ""gratitude"", ""score"": 0.002235971624031663}, {""label"": ""grief"", ""score"": 0.00025219033705070615}, {""label"": ""joy"", ""score"": 0.0031127703841775656}, {""label"": ""love"", ""score"": 0.0006009246571920812}, {""label"": ""nervousness"", ""score"": 0.0003763363929465413}, {""label"": ""optimism"", ""score"": 0.05992601066827774}, {""label"": ""pride"", ""score"": 0.003134306985884905}, {""label"": ""realization"", ""score"": 0.018167538568377495}, {""label"": ""relief"", ""score"": 0.0013782423920929432}, {""label"": ""remorse"", ""score"": 0.0002557953994255513}, {""label"": ""sadness"", ""score"": 0.0004559747758321464}, {""label"": ""surprise"", ""score"": 0.002337198704481125}, {""label"": ""neutral"", ""score"": 0.411580890417099}]",neutral,12.972332015810279,Ce tweet a un score de fiabilité de 13.0%.
at://did:plc:svuws2idtm5jycvojdbvaukd/app.bsky.feed.post/3lt4yllpht22y,https://bsky.app/profile/johnahob.bsky.social/post/3lt4yllpht22y,bafyreigzb2m7zeoqhgsfksxj735gyqtgpdzek5qhij6yzyoaizsboo2buq,Not unless we accept political control over what goes in the library. And schools are next.,2025-07-04T10:05:43.732Z,2025-07-04T10:05:45.438Z,{},1,0,1,did:plc:svuws2idtm5jycvojdbvaukd,johnahob.bsky.social,,0,0,0,2024-08-20T13:29:54.187Z,,False,,False,"""[]""",2025-07-04T10:10:31.642708Z,Vrai,"[0.003969981800764799, 0.9960300326347351]","[{""label"": ""admiration"", ""score"": 0.0014586796751245856}, {""label"": ""amusement"", ""score"": 0.0007557304343208671}, {""label"": ""anger"", ""score"": 0.0011397716589272022}, {""label"": ""annoyance"", ""score"": 0.011537005193531513}, {""label"": ""approval"", ""score"": 0.04756338149309158}, {""label"": ""caring"", ""score"": 0.0009181629866361618}, {""label"": ""confusion"", ""score"": 0.007210839074105024}, {""label"": ""curiosity"", ""score"": 0.0011616334086284041}, {""label"": ""desire"", ""score"": 0.0015614028088748455}, {""label"": ""disappointment"", ""score"": 0.006734277121722698}, {""label"": ""disapproval"", ""score"": 0.07076114416122437}, {""label"": ""disgust"", ""score"": 0.0009741283138282597}, {""label"": ""embarrassment"", ""score"": 0.00036223509232513607}, {""label"": ""excitement"", ""score"": 0.0006092123803682625}, {""label"": ""fear"", ""score"": 0.0004719306598417461}, {""label"": ""gratitude"", ""score"": 0.0006211902946233749}, {""label"": ""grief"", ""score"": 0.00017297154408879578}, {""label"": ""joy"", ""score"": 0.0006318914238363504}, {""label"": ""love"", ""score"": 0.00047557003563269973}, {""label"": ""nervousness"", ""score"": 0.00022373271349351853}, {""label"": ""optimism"", ""score"": 0.006635135039687157}, {""label"": ""pride"", ""score"": 0.00019379344303160906}, {""label"": ""realization"", ""score"": 0.023304054513573647}, {""label"": ""relief"", ""score"": 0.0003815564268734306}, {""label"": ""remorse"", ""score"": 0.00027711503207683563}, {""label"": ""sadness"", ""score"": 0.0009051563683897257}, {""label"": ""surprise"", ""score"": 0.0005968869663774967}, {""label"": ""neutral"", ""score"": 0.8484333157539368}]",neutral,6.363636363636363,Ce tweet a un score de fiabilité de 6.4%.
at://did:plc:dacqb5pqgmkpig2l5oo4n6m4/app.bsky.feed.post/3lt4yk3pzzs26,https://bsky.app/profile/mathdemocrat.bsky.social/post/3lt4yk3pzzs26,bafyreies2ohvrxd45opapqyquplubfr6cufsiytxlwli427dahreenlj6i,"""* Internal Orders to Ignore Courts: A DOJ whistleblower complaint alleges that a top political appointee, Emil Bove, instructed staff that deportation ""planes need to take off no matter what"" and explicitly suggested telling federal judges ""f*** you"" and ignoring their orders.""",2025-07-04T10:04:53.420Z,2025-07-04T10:04:55.036Z,{},0,0,0,did:plc:dacqb5pqgmkpig2l5oo4n6m4,mathdemocrat.bsky.social,math democrat,0,0,0,2024-11-21T03:40:15.570Z,,False,,False,"""[]""",2025-07-04T10:10:31.643408Z,Faux,"[0.576870322227478, 0.4231296479701996]","[{""label"": ""admiration"", ""score"": 0.0011061776895076036}, {""label"": ""amusement"", ""score"": 0.0013369062216952443}, {""label"": ""anger"", ""score"": 0.03480543941259384}, {""label"": ""annoyance"", ""score"": 0.0873040035367012}, {""label"": ""approval"", ""score"": 0.016566773876547813}, {""label"": ""caring"", ""score"": 0.002744874684140086}, {""label"": ""confusion"", ""score"": 0.0012331729521974921}, {""label"": ""curiosity"", ""score"": 0.0007768945652060211}, {""label"": ""desire"", ""score"": 0.0010994607582688332}, {""label"": ""disappointment"", ""score"": 0.005424951668828726}, {""label"": ""disapproval"", ""score"": 0.01292503997683525}, {""label"": ""disgust"", ""score"": 0.006424497812986374}, {""label"": ""embarrassment"", ""score"": 0.0012955527054145932}, {""label"": ""excitement"", ""score"": 0.00041587933083064854}, {""label"": ""fear"", ""score"": 0.0012827360769733787}, {""label"": ""gratitude"", ""score"": 0.0005966514581814408}, {""label"": ""grief"", ""score"": 0.0003966432996094227}, {""label"": ""joy"", ""score"": 0.0005764688830822706}, {""label"": ""love"", ""score"": 0.0005012308829464018}, {""label"": ""nervousness"", ""score"": 0.0003018397546838969}, {""label"": ""optimism"", ""score"": 0.0027666050009429455}, {""label"": ""pride"", ""score"": 0.0002930013579316437}, {""label"": ""realization"", ""score"": 0.006203496363013983}, {""label"": ""relief"", ""score"": 0.00027455779490992427}, {""label"": ""remorse"", ""score"": 0.00046877178829163313}, {""label"": ""sadness"", ""score"": 0.002775998320430517}, {""label"": ""surprise"", ""score"": 0.00033686048118397593}, {""label"": ""neutral"", ""score"": 0.8901571035385132}]",neutral,0.0,Ce tweet a un score de fiabilité de 0.0%.
