post_uri,post_url,post_cid,text,createdAt_post,indexedAt_post,embed,likeCount,repostCount,replyCount,did,handle,displayName,followersCount,followsCount,postsCount,createdAt_profile,indexedAt_profile,viewer_muted,viewer_following,viewer_blockedBy,labels,collectedAt,fake_news_label,fake_news_probs,emotions_raw,top_emotion
at://did:plc:ue22unndfqi3lbbewewwwqr7/app.bsky.feed.post/3lt5hitvlhc24,https://bsky.app/profile/buildingbackblue.bsky.social/post/3lt5hitvlhc24,bafyreibqqp5mofa7whyzgmp7kli2arzpsiptfrqjezjskrqzayjnpimiia,"Donald Trump spent his political career declaring a war on immigrants, referring to them all as criminals.  Now he may let millions stay in America, if they work in the farming and agriculture industries.   So would Donald supporters please tell me: Was he wrong yesterday or wrong today?  🤔",2025-07-04T14:32:37.785Z,2025-07-04T14:32:37.435Z,{},2,0,0,did:plc:ue22unndfqi3lbbewewwwqr7,buildingbackblue.bsky.social,Build Back Blue,0,0,0,2024-12-02T13:54:07.645Z,,False,,False,"""[]""",2025-07-04T14:32:58.603621Z,Vrai,"[0.0028221402317285538, 0.9971778392791748]","[{""label"": ""admiration"", ""score"": 0.002407836029306054}, {""label"": ""amusement"", ""score"": 0.002733092289417982}, {""label"": ""anger"", ""score"": 0.00546790799126029}, {""label"": ""annoyance"", ""score"": 0.013407127931714058}, {""label"": ""approval"", ""score"": 0.034743089228868484}, {""label"": ""caring"", ""score"": 0.009332729503512383}, {""label"": ""confusion"", ""score"": 0.13869035243988037}, {""label"": ""curiosity"", ""score"": 0.760097861289978}, {""label"": ""desire"", ""score"": 0.008646314963698387}, {""label"": ""disappointment"", ""score"": 0.004002917557954788}, {""label"": ""disapproval"", ""score"": 0.011264060623943806}, {""label"": ""disgust"", ""score"": 0.001770194387063384}, {""label"": ""embarrassment"", ""score"": 0.0007928726845420897}, {""label"": ""excitement"", ""score"": 0.001531605958007276}, {""label"": ""fear"", ""score"": 0.001556606381200254}, {""label"": ""gratitude"", ""score"": 0.0003974212158937007}, {""label"": ""grief"", ""score"": 0.00043343615834601223}, {""label"": ""joy"", ""score"": 0.0008534582448191941}, {""label"": ""love"", ""score"": 0.005911497864872217}, {""label"": ""nervousness"", ""score"": 0.0008185928454622626}, {""label"": ""optimism"", ""score"": 0.01965409331023693}, {""label"": ""pride"", ""score"": 8.40611828607507e-05}, {""label"": ""realization"", ""score"": 0.005621838383376598}, {""label"": ""relief"", ""score"": 0.00028775553801096976}, {""label"": ""remorse"", ""score"": 0.001516622374765575}, {""label"": ""sadness"", ""score"": 0.0024566419888287783}, {""label"": ""surprise"", ""score"": 0.002513337414711714}, {""label"": ""neutral"", ""score"": 0.27632492780685425}]",curiosity
at://did:plc:7e3mh54uvnicekbci3sxqup3/app.bsky.feed.post/3lt5hieixrs2f,https://bsky.app/profile/debbie-nosnibor.bsky.social/post/3lt5hieixrs2f,bafyreicjdj344q7cxmnql2nuxovjb4v4evfhzaanux6zmjl3hipwatanr4,"That’s what they have been doing since he rode down that escalator on June 16, 2015. He made a number of derogatory comments that should have ended his political career before it even started but instead they sane washed his comments. 🤦🏽‍♀️",2025-07-04T14:32:21.644Z,2025-07-04T14:32:22.137Z,{},0,0,0,did:plc:7e3mh54uvnicekbci3sxqup3,debbie-nosnibor.bsky.social,Debbie R,0,0,0,2024-11-16T00:22:04.430Z,,False,,False,"""[]""",2025-07-04T14:32:58.603664Z,Vrai,"[0.002950706984847784, 0.9970492720603943]","[{""label"": ""admiration"", ""score"": 0.0010133272735401988}, {""label"": ""amusement"", ""score"": 0.004264096263796091}, {""label"": ""anger"", ""score"": 0.006534419022500515}, {""label"": ""annoyance"", ""score"": 0.06677712500095367}, {""label"": ""approval"", ""score"": 0.13688910007476807}, {""label"": ""caring"", ""score"": 0.008408615365624428}, {""label"": ""confusion"", ""score"": 0.001747023779898882}, {""label"": ""curiosity"", ""score"": 0.0009668570710346103}, {""label"": ""desire"", ""score"": 0.004984199069440365}, {""label"": ""disappointment"", ""score"": 0.03672252595424652}, {""label"": ""disapproval"", ""score"": 0.03130332753062248}, {""label"": ""disgust"", ""score"": 0.007824146188795567}, {""label"": ""embarrassment"", ""score"": 0.006815786473453045}, {""label"": ""excitement"", ""score"": 0.00038609691546298563}, {""label"": ""fear"", ""score"": 0.0031145450193434954}, {""label"": ""gratitude"", ""score"": 0.0002787220582831651}, {""label"": ""grief"", ""score"": 0.001184669672511518}, {""label"": ""joy"", ""score"": 0.0007195285288617015}, {""label"": ""love"", ""score"": 0.0027860086411237717}, {""label"": ""nervousness"", ""score"": 0.0018160733161494136}, {""label"": ""optimism"", ""score"": 0.03385157138109207}, {""label"": ""pride"", ""score"": 0.0007345269550569355}, {""label"": ""realization"", ""score"": 0.09813729673624039}, {""label"": ""relief"", ""score"": 0.0015309760347008705}, {""label"": ""remorse"", ""score"": 0.0033917073160409927}, {""label"": ""sadness"", ""score"": 0.018208125606179237}, {""label"": ""surprise"", ""score"": 0.0005727592506445944}, {""label"": ""neutral"", ""score"": 0.666964054107666}]",neutral
at://did:plc:wfauwzg3ywjyme3b73iyyxmd/app.bsky.feed.post/3lt5hic7i7s2p,https://bsky.app/profile/ivyweber95.bsky.social/post/3lt5hic7i7s2p,bafyreifhditxnkuaz3r3ekwunjmffujgt3ldlbofkp3xjgz2dkonjffg5i,"I think it's important that people start recognising the inherently political alliances between journalists at this time. They're clearly not impartial announcers of fact like they claim, but a collection of political blocs with their own goals.",2025-07-04T14:32:19.236Z,2025-07-04T14:32:24.738Z,{},0,0,0,did:plc:wfauwzg3ywjyme3b73iyyxmd,ivyweber95.bsky.social,Toxic Ivy (she/her) 💠,0,0,0,2025-01-09T13:20:10.243Z,,False,,False,"""[]""",2025-07-04T14:32:58.603708Z,Vrai,"[0.003943013027310371, 0.9960570335388184]","[{""label"": ""admiration"", ""score"": 0.005744216963648796}, {""label"": ""amusement"", ""score"": 0.0004137759970035404}, {""label"": ""anger"", ""score"": 0.0016466970555484295}, {""label"": ""annoyance"", ""score"": 0.022950682789087296}, {""label"": ""approval"", ""score"": 0.30648547410964966}, {""label"": ""caring"", ""score"": 0.005157743580639362}, {""label"": ""confusion"", ""score"": 0.005082083400338888}, {""label"": ""curiosity"", ""score"": 0.0007158024818636477}, {""label"": ""desire"", ""score"": 0.003823475679382682}, {""label"": ""disappointment"", ""score"": 0.009441467002034187}, {""label"": ""disapproval"", ""score"": 0.056490931659936905}, {""label"": ""disgust"", ""score"": 0.001377491164021194}, {""label"": ""embarrassment"", ""score"": 0.0007465723319910467}, {""label"": ""excitement"", ""score"": 0.000522017537150532}, {""label"": ""fear"", ""score"": 0.0006819710251875222}, {""label"": ""gratitude"", ""score"": 0.001482426654547453}, {""label"": ""grief"", ""score"": 0.00035535322967916727}, {""label"": ""joy"", ""score"": 0.0008042579283937812}, {""label"": ""love"", ""score"": 0.0007478846819140017}, {""label"": ""nervousness"", ""score"": 0.0005281218909658492}, {""label"": ""optimism"", ""score"": 0.01869591511785984}, {""label"": ""pride"", ""score"": 0.0011465990683063865}, {""label"": ""realization"", ""score"": 0.11322145164012909}, {""label"": ""relief"", ""score"": 0.001741823391057551}, {""label"": ""remorse"", ""score"": 0.0006886487826704979}, {""label"": ""sadness"", ""score"": 0.0013756080297753215}, {""label"": ""surprise"", ""score"": 0.0005355143221095204}, {""label"": ""neutral"", ""score"": 0.566521942615509}]",neutral
at://did:plc:ujfks3jbsdkxl2qxwwn2ww5b/app.bsky.feed.post/3lt5hiadn6k2v,https://bsky.app/profile/frodolove.bsky.social/post/3lt5hiadn6k2v,bafyreidp6kan5o6nbxan4feuo3rd6moe6nnceyjo27ogwczc7xgez7vjau,"Bottom Line: There are many orgs that are nothing more than obscene, sensationalistic  propaganda spreading machines and/or political tools! Period! There are other ACTUAL NEWS orgs, as well as INDEPENDENT journalists who are committed to both uncovering & speaking TRUTH TO POWER & THE PEOPLE!",2025-07-04T14:32:17.275Z,2025-07-04T14:32:18.340Z,{},0,0,0,did:plc:ujfks3jbsdkxl2qxwwn2ww5b,frodolove.bsky.social,FrodoLove,0,0,0,2025-01-21T03:20:02.545Z,,False,,False,"""[]""",2025-07-04T14:32:58.603742Z,Vrai,"[0.0007227850146591663, 0.9992771744728088]","[{""label"": ""admiration"", ""score"": 0.008395349606871605}, {""label"": ""amusement"", ""score"": 0.0005732537247240543}, {""label"": ""anger"", ""score"": 0.003479461884126067}, {""label"": ""annoyance"", ""score"": 0.017954856157302856}, {""label"": ""approval"", ""score"": 0.20681537687778473}, {""label"": ""caring"", ""score"": 0.0010880008339881897}, {""label"": ""confusion"", ""score"": 0.0012136242585256696}, {""label"": ""curiosity"", ""score"": 0.0007111273589543998}, {""label"": ""desire"", ""score"": 0.0008218719740398228}, {""label"": ""disappointment"", ""score"": 0.0035190582275390625}, {""label"": ""disapproval"", ""score"": 0.01245027594268322}, {""label"": ""disgust"", ""score"": 0.0016817598370835185}, {""label"": ""embarrassment"", ""score"": 0.0003167496179230511}, {""label"": ""excitement"", ""score"": 0.0006070266827009618}, {""label"": ""fear"", ""score"": 0.0003317849768791348}, {""label"": ""gratitude"", ""score"": 0.0007437325548380613}, {""label"": ""grief"", ""score"": 0.00015822259592823684}, {""label"": ""joy"", ""score"": 0.0004621194675564766}, {""label"": ""love"", ""score"": 0.0005444360431283712}, {""label"": ""nervousness"", ""score"": 9.9489618150983e-05}, {""label"": ""optimism"", ""score"": 0.005717719905078411}, {""label"": ""pride"", ""score"": 0.00044900141074322164}, {""label"": ""realization"", ""score"": 0.016535261645913124}, {""label"": ""relief"", ""score"": 0.0003496725403238088}, {""label"": ""remorse"", ""score"": 0.00020729780953843147}, {""label"": ""sadness"", ""score"": 0.0007759095169603825}, {""label"": ""surprise"", ""score"": 0.0004070652066729963}, {""label"": ""neutral"", ""score"": 0.7945960164070129}]",neutral
at://did:plc:p5a4gm3yw4mlbk67uaaoygj7/app.bsky.feed.post/3lt5hh3kces2p,https://bsky.app/profile/texasvet77.bsky.social/post/3lt5hh3kces2p,bafyreifykfgjjchf2eacftdt5xx5ygcl6wgd65s3atmg5kmit77pmczyvm,The Repugnants delayed most of the pain from the BBB until after the midterms. They think the public won't see the carnage b4 then. Their base has a short attention span.   Dem political ads need to remind people what's coming because of the cowardly bastards.,2025-07-04T14:31:38.683Z,2025-07-04T14:31:40.041Z,{},0,0,0,did:plc:p5a4gm3yw4mlbk67uaaoygj7,texasvet77.bsky.social,Blue 🔵 in Texas🏳️‍⚧️🇺🇲🇺🇦🌈⚛️,0,0,0,2025-01-16T19:02:08.043Z,,False,,False,"""[]""",2025-07-04T14:32:58.604609Z,Vrai,"[0.004146913066506386, 0.995853066444397]","[{""label"": ""admiration"", ""score"": 0.0011659575393423438}, {""label"": ""amusement"", ""score"": 0.0010556364431977272}, {""label"": ""anger"", ""score"": 0.2019462138414383}, {""label"": ""annoyance"", ""score"": 0.40823251008987427}, {""label"": ""approval"", ""score"": 0.013787529431283474}, {""label"": ""caring"", ""score"": 0.002403395948931575}, {""label"": ""confusion"", ""score"": 0.001666151569224894}, {""label"": ""curiosity"", ""score"": 0.000714432739187032}, {""label"": ""desire"", ""score"": 0.0013142017414793372}, {""label"": ""disappointment"", ""score"": 0.01885431632399559}, {""label"": ""disapproval"", ""score"": 0.0475710928440094}, {""label"": ""disgust"", ""score"": 0.013795221224427223}, {""label"": ""embarrassment"", ""score"": 0.0024638520553708076}, {""label"": ""excitement"", ""score"": 0.0005533393123187125}, {""label"": ""fear"", ""score"": 0.0011855842312797904}, {""label"": ""gratitude"", ""score"": 0.00046006942284293473}, {""label"": ""grief"", ""score"": 0.0004335085686761886}, {""label"": ""joy"", ""score"": 0.000670142937451601}, {""label"": ""love"", ""score"": 0.0005354898166842759}, {""label"": ""nervousness"", ""score"": 0.0004165052087046206}, {""label"": ""optimism"", ""score"": 0.0032820049673318863}, {""label"": ""pride"", ""score"": 0.0004743238678202033}, {""label"": ""realization"", ""score"": 0.011230827309191227}, {""label"": ""relief"", ""score"": 0.0002977815456688404}, {""label"": ""remorse"", ""score"": 0.0004326020134612918}, {""label"": ""sadness"", ""score"": 0.003280002623796463}, {""label"": ""surprise"", ""score"": 0.0008369683637283742}, {""label"": ""neutral"", ""score"": 0.4780731499195099}]",neutral
at://did:plc:3kgx4rphbtck7ku6kx2ul6gp/app.bsky.feed.post/3lt5hg3jbls2f,https://bsky.app/profile/validermine54.bsky.social/post/3lt5hg3jbls2f,bafyreifnjwvyjh256klvzdipage55wrbhkysgngo5djivflae2npbq6clu,"Rare political post from me, but I felt the need to say something. Especially on a day like today.",2025-07-04T14:31:05.108Z,2025-07-04T14:31:06.535Z,{},1,0,0,did:plc:3kgx4rphbtck7ku6kx2ul6gp,validermine54.bsky.social,Valid,0,0,0,2024-10-23T17:38:20.211Z,,False,,False,"""[]""",2025-07-04T14:32:58.604899Z,Vrai,"[0.001829396584071219, 0.9981706142425537]","[{""label"": ""admiration"", ""score"": 0.004094965755939484}, {""label"": ""amusement"", ""score"": 0.0005224379128776491}, {""label"": ""anger"", ""score"": 0.0009489801595918834}, {""label"": ""annoyance"", ""score"": 0.024565119296312332}, {""label"": ""approval"", ""score"": 0.1472415179014206}, {""label"": ""caring"", ""score"": 0.0028550296556204557}, {""label"": ""confusion"", ""score"": 0.0024281046353280544}, {""label"": ""curiosity"", ""score"": 0.0014730868861079216}, {""label"": ""desire"", ""score"": 0.009717379696667194}, {""label"": ""disappointment"", ""score"": 0.01855943351984024}, {""label"": ""disapproval"", ""score"": 0.009411348029971123}, {""label"": ""disgust"", ""score"": 0.0014703799970448017}, {""label"": ""embarrassment"", ""score"": 0.0012362712295725942}, {""label"": ""excitement"", ""score"": 0.0016272584907710552}, {""label"": ""fear"", ""score"": 0.0005413391045294702}, {""label"": ""gratitude"", ""score"": 0.0009813869837671518}, {""label"": ""grief"", ""score"": 0.00044333614641800523}, {""label"": ""joy"", ""score"": 0.0017075145151466131}, {""label"": ""love"", ""score"": 0.0006535552092827857}, {""label"": ""nervousness"", ""score"": 0.0011595975374802947}, {""label"": ""optimism"", ""score"": 0.009958424605429173}, {""label"": ""pride"", ""score"": 0.0011743137147277594}, {""label"": ""realization"", ""score"": 0.1051272377371788}, {""label"": ""relief"", ""score"": 0.0025819232687354088}, {""label"": ""remorse"", ""score"": 0.0007306609768420458}, {""label"": ""sadness"", ""score"": 0.00318206031806767}, {""label"": ""surprise"", ""score"": 0.0010829163948073983}, {""label"": ""neutral"", ""score"": 0.6501410007476807}]",neutral
at://did:plc:eg62hz2e4aakucsnsyejzg6w/app.bsky.feed.post/3lt5hfxb64s2y,https://bsky.app/profile/kelvinnicholls.bsky.social/post/3lt5hfxb64s2y,bafyreih2y2t5qgtl66rgzosmwsypd7ghoiarniyjlg3nzpl2va3lxbvpia,Jeremy Corbyn and Zarah Sultana are co-founding a new political party www.councilestatemedia.uk/p/jeremy-cor...,2025-07-04T14:31:00.647Z,2025-07-04T14:31:11.946Z,"""external=External(description=\""It's about time...\"", title='Jeremy Corbyn and Zarah Sultana are co-founding a new political party', uri='https://www.councilestatemedia.uk/p/jeremy-corbyn-and-zarah-sultana-are?r=1qugvr&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false', thumb=BlobRef(mime_type='image/jpeg', size=685798, ref=IpldLink(link='bafkreidj7rxrw4cifgozjijxvvqmwdbisl76hie7ebyqe3kpabwwslap4e'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:eg62hz2e4aakucsnsyejzg6w,kelvinnicholls.bsky.social,,0,0,0,2024-11-14T16:12:16.030Z,,False,,False,"""[]""",2025-07-04T14:32:58.604975Z,Vrai,"[0.001301085576415062, 0.9986988306045532]","[{""label"": ""admiration"", ""score"": 0.0038321763277053833}, {""label"": ""amusement"", ""score"": 0.001810267916880548}, {""label"": ""anger"", ""score"": 0.0009021053556352854}, {""label"": ""annoyance"", ""score"": 0.00444429088383913}, {""label"": ""approval"", ""score"": 0.052456606179475784}, {""label"": ""caring"", ""score"": 0.00081780890468508}, {""label"": ""confusion"", ""score"": 0.0020957402884960175}, {""label"": ""curiosity"", ""score"": 0.000896044890396297}, {""label"": ""desire"", ""score"": 0.0008782063378021121}, {""label"": ""disappointment"", ""score"": 0.0026590139605104923}, {""label"": ""disapproval"", ""score"": 0.004390389192849398}, {""label"": ""disgust"", ""score"": 0.0011834122706204653}, {""label"": ""embarrassment"", ""score"": 0.0004595910431817174}, {""label"": ""excitement"", ""score"": 0.0023640908766537905}, {""label"": ""fear"", ""score"": 0.0007780893356539309}, {""label"": ""gratitude"", ""score"": 0.0005076946690678596}, {""label"": ""grief"", ""score"": 0.000270380696747452}, {""label"": ""joy"", ""score"": 0.002780483104288578}, {""label"": ""love"", ""score"": 0.0012998339952901006}, {""label"": ""nervousness"", ""score"": 0.000300268322462216}, {""label"": ""optimism"", ""score"": 0.002355617703869939}, {""label"": ""pride"", ""score"": 0.0004360127786640078}, {""label"": ""realization"", ""score"": 0.014348509721457958}, {""label"": ""relief"", ""score"": 0.0005614670226350427}, {""label"": ""remorse"", ""score"": 0.0003055064589716494}, {""label"": ""sadness"", ""score"": 0.0014386550756171346}, {""label"": ""surprise"", ""score"": 0.0006138187018223107}, {""label"": ""neutral"", ""score"": 0.942708432674408}]",neutral
at://did:plc:a3534uuuzu7ywdebkmxhuzi4/app.bsky.feed.post/3lt5hfnbbsc27,https://bsky.app/profile/csmck.bsky.social/post/3lt5hfnbbsc27,bafyreigmbqriocky4q4k4nvz44egz7hxezb7vdydaioi6mvsttatce6pli,"Call Congress/State Representative, express disapproval of bad bills, weekly. Listen to NLP & other apt political pods, how to stay engaged, avoid battles fatigue ✨️🙏",2025-07-04T14:30:50.165Z,2025-07-04T14:30:50.843Z,{},0,0,0,did:plc:a3534uuuzu7ywdebkmxhuzi4,csmck.bsky.social,Charles S. Mckinnie,0,0,0,2024-11-28T02:15:55.746Z,,False,,False,"""[]""",2025-07-04T14:32:58.605311Z,Vrai,"[0.0031742998398840427, 0.9968256950378418]","[{""label"": ""admiration"", ""score"": 0.014096605591475964}, {""label"": ""amusement"", ""score"": 0.0006732835900038481}, {""label"": ""anger"", ""score"": 0.0031304103322327137}, {""label"": ""annoyance"", ""score"": 0.013413405045866966}, {""label"": ""approval"", ""score"": 0.41452130675315857}, {""label"": ""caring"", ""score"": 0.4649420976638794}, {""label"": ""confusion"", ""score"": 0.0025971049908548594}, {""label"": ""curiosity"", ""score"": 0.0031200749799609184}, {""label"": ""desire"", ""score"": 0.008936665952205658}, {""label"": ""disappointment"", ""score"": 0.002828628057613969}, {""label"": ""disapproval"", ""score"": 0.02171304076910019}, {""label"": ""disgust"", ""score"": 0.0010293012019246817}, {""label"": ""embarrassment"", ""score"": 0.0004451106651686132}, {""label"": ""excitement"", ""score"": 0.001960338093340397}, {""label"": ""fear"", ""score"": 0.0013335465919226408}, {""label"": ""gratitude"", ""score"": 0.002030374249443412}, {""label"": ""grief"", ""score"": 0.0007091386360116303}, {""label"": ""joy"", ""score"": 0.0016012645792216063}, {""label"": ""love"", ""score"": 0.007395981810986996}, {""label"": ""nervousness"", ""score"": 0.0014500507386401296}, {""label"": ""optimism"", ""score"": 0.0793832466006279}, {""label"": ""pride"", ""score"": 0.0016155666671693325}, {""label"": ""realization"", ""score"": 0.018652526661753654}, {""label"": ""relief"", ""score"": 0.0042671444825828075}, {""label"": ""remorse"", ""score"": 0.0012258371571078897}, {""label"": ""sadness"", ""score"": 0.0016983957029879093}, {""label"": ""surprise"", ""score"": 0.000409489031881094}, {""label"": ""neutral"", ""score"": 0.34208035469055176}]",caring
at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3lt5hfklxzj27,https://bsky.app/profile/europesays.bsky.social/post/3lt5hfklxzj27,bafyreigbxc6hs5bx55iimycxd2hmfwp4c2e5j2utv7jw5ps63fjissxucq,Switzerland stirs Brexit ghosts in push for EU access  https://www.europesays.com/2217256/  A proudly independent European nation confronted with a stark political choice: keep EU single market access but only…,2025-07-04T14:30:44+00:00,2025-07-04T14:30:48.139Z,"""external=External(description='A proudly independent European nation confronted with a stark political choice: keep EU single market access but only by making financial payments, taking', title='Switzerland stirs Brexit ghosts in push for EU access - EUROPE SAYS', uri='https://www.europesays.com/2217256/', thumb=BlobRef(mime_type='image/jpeg', size=93291, ref=IpldLink(link='bafkreightpdrpd7dua27ckoajhgmwhorc3vzqjgoif4g4t2f7oz3uoz5ni'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:msian4dqa2rqalf3biilnf3m,europesays.bsky.social,EUROPE SAYS,0,0,0,2024-02-22T14:31:41.275Z,,False,,False,"""[]""",2025-07-04T14:32:58.605372Z,Vrai,"[0.001873193890787661, 0.9981268048286438]","[{""label"": ""admiration"", ""score"": 0.020072059705853462}, {""label"": ""amusement"", ""score"": 0.00042102887528017163}, {""label"": ""anger"", ""score"": 0.0008922524284571409}, {""label"": ""annoyance"", ""score"": 0.005147560965269804}, {""label"": ""approval"", ""score"": 0.19117778539657593}, {""label"": ""caring"", ""score"": 0.0013197234366089106}, {""label"": ""confusion"", ""score"": 0.0045617204159498215}, {""label"": ""curiosity"", ""score"": 0.0012163706123828888}, {""label"": ""desire"", ""score"": 0.0020351966377347708}, {""label"": ""disappointment"", ""score"": 0.006899598985910416}, {""label"": ""disapproval"", ""score"": 0.006835890002548695}, {""label"": ""disgust"", ""score"": 0.0011299062753096223}, {""label"": ""embarrassment"", ""score"": 0.0005299394251778722}, {""label"": ""excitement"", ""score"": 0.0016495968447998166}, {""label"": ""fear"", ""score"": 0.0011009895242750645}, {""label"": ""gratitude"", ""score"": 0.0006471509113907814}, {""label"": ""grief"", ""score"": 0.000397127732867375}, {""label"": ""joy"", ""score"": 0.00198928639292717}, {""label"": ""love"", ""score"": 0.0010407521622255445}, {""label"": ""nervousness"", ""score"": 0.0006389785557985306}, {""label"": ""optimism"", ""score"": 0.005998308304697275}, {""label"": ""pride"", ""score"": 0.0018566560465842485}, {""label"": ""realization"", ""score"": 0.024223417043685913}, {""label"": ""relief"", ""score"": 0.0012425706954672933}, {""label"": ""remorse"", ""score"": 0.00047579192323610187}, {""label"": ""sadness"", ""score"": 0.002143416553735733}, {""label"": ""surprise"", ""score"": 0.0004790325474459678}, {""label"": ""neutral"", ""score"": 0.8020216822624207}]",neutral
at://did:plc:n6f3vpcaegok4jvufmdiphpc/app.bsky.feed.post/3lt5hf3menk23,https://bsky.app/profile/cl10.bsky.social/post/3lt5hf3menk23,bafyreibjyjljhisp5m5crdk4u5boxhcql5ilnjahesth3bkrlntlyarbqe,Features of the 119th Congressional Districts:  How many households participate in SNAP? www.datawrapper.de/_/WiIz4/  How many households have a member with a disability? www.datawrapper.de/_/QMLU1/  Which type of representation does each district have? www.datawrapper.de/_/bPQUZ/,2025-07-04T14:30:31.651Z,2025-07-04T14:30:33.541Z,"""images=[Image(alt=\""Scatterplot where points represent congressional districts and color represents political party of the district's representative. The x axis is the number of households on SNAP and the y axis is the number of households with a member who has a disability.\"", image=BlobRef(mime_type='image/jpeg', size=267082, ref=IpldLink(link='bafkreicvhcd7f73pcvqd4b5jd2fow4e5f2y6uajblwvvujvn45lyxgwtna'), py_type='blob'), aspect_ratio=AspectRatio(height=798, width=1040, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""",0,0,0,did:plc:n6f3vpcaegok4jvufmdiphpc,cl10.bsky.social,clio,0,0,0,2023-10-02T16:57:29.911Z,,False,,False,"""[]""",2025-07-04T14:32:58.605417Z,Vrai,"[0.0008850468439050019, 0.9991149306297302]","[{""label"": ""admiration"", ""score"": 0.0020922289695590734}, {""label"": ""amusement"", ""score"": 0.0015638526529073715}, {""label"": ""anger"", ""score"": 0.0016694051446393132}, {""label"": ""annoyance"", ""score"": 0.005551982671022415}, {""label"": ""approval"", ""score"": 0.010681219398975372}, {""label"": ""caring"", ""score"": 0.0011787371477112174}, {""label"": ""confusion"", ""score"": 0.15776614844799042}, {""label"": ""curiosity"", ""score"": 0.47032269835472107}, {""label"": ""desire"", ""score"": 0.0013250444317236543}, {""label"": ""disappointment"", ""score"": 0.001648231060244143}, {""label"": ""disapproval"", ""score"": 0.0025610399898141623}, {""label"": ""disgust"", ""score"": 0.0010203905403614044}, {""label"": ""embarrassment"", ""score"": 0.0005348394042812288}, {""label"": ""excitement"", ""score"": 0.0018415293889120221}, {""label"": ""fear"", ""score"": 0.0008754784939810634}, {""label"": ""gratitude"", ""score"": 0.0005139501299709082}, {""label"": ""grief"", ""score"": 0.0002710478729568422}, {""label"": ""joy"", ""score"": 0.0007534645264968276}, {""label"": ""love"", ""score"": 0.0021626069210469723}, {""label"": ""nervousness"", ""score"": 0.0003727396542672068}, {""label"": ""optimism"", ""score"": 0.0023103347048163414}, {""label"": ""pride"", ""score"": 5.982468428555876e-05}, {""label"": ""realization"", ""score"": 0.004860101267695427}, {""label"": ""relief"", ""score"": 0.00014830469444859773}, {""label"": ""remorse"", ""score"": 0.00036996559356339276}, {""label"": ""sadness"", ""score"": 0.0011683327611535788}, {""label"": ""surprise"", ""score"": 0.004582730587571859}, {""label"": ""neutral"", ""score"": 0.6337758898735046}]",neutral
