post_uri,post_url,post_cid,text,createdAt_post,indexedAt_post,embed,likeCount,repostCount,replyCount,did,handle,displayName,followersCount,followsCount,postsCount,createdAt_profile,indexedAt_profile,viewer_muted,viewer_following,viewer_blockedBy,labels,collectedAt,fake_news_label,fake_news_probs
at://did:plc:drpp7jxpl3ojz2m3pon2zdpq/app.bsky.feed.post/3lt5e6p7flk2n,https://bsky.app/profile/parforthecourse1.bsky.social/post/3lt5e6p7flk2n,bafyreic5q3abrtsduevmmpahz2eet5mf4jukagio4xrnkt37qge2ggcrxe,Can the International Court summons a political figure included the President of the U.S. and Try them on Crimes against Humanity?,2025-07-04T13:33:16.093Z,2025-07-04T13:33:19.739Z,"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=104943, ref=IpldLink(link='bafkreig2jvulzqn65psp433f4iknrtlsfnnwuo2kkbopekk5aedqk632gi'), py_type='blob'), aspect_ratio=AspectRatio(height=459, width=747, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=130802, ref=IpldLink(link='bafkreie7eud6jgtcn5lp734s3w7zy3urkhjfe7h5cbnlhohd4e23uhx7aa'), py_type='blob'), aspect_ratio=AspectRatio(height=548, width=718, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""",0,0,0,did:plc:drpp7jxpl3ojz2m3pon2zdpq,parforthecourse1.bsky.social,Charlie💙GOP Fascist B**tards Destroy Lives,0,0,0,2025-06-15T02:02:23.740Z,,False,,False,"""[]""",2025-07-04T13:33:42.376319Z,Vrai,"[0.05204598605632782, 0.947953999042511]"
at://did:plc:vovyzjmibw2lzetp5xsxh6p3/app.bsky.feed.post/3lt5e6omdac2k,https://bsky.app/profile/railmag.bsky.social/post/3lt5e6omdac2k,bafyreicmiusnskiin6cbylyr66pbxqgetqeymqyz4qxsqntbpiowjpdhze,"Sending you wishes for a Happy 4th 🇺🇸with this Hippo (HHP-8) in Phase VII livery in Metuchen, N.J. (Photo by Adam Reich for Trains Magazine). Patriotism need not be diminished by the failures of our political leadership but, in fact, emboldened by patriotism to overcome them.",2025-07-04T13:33:15.460Z,2025-07-04T13:33:23.939Z,"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=407735, ref=IpldLink(link='bafkreibovqpuf2xdomjwraycsyfdtxifmbfx43jz4z6gvgsj5qbafncxva'), py_type='blob'), aspect_ratio=AspectRatio(height=562, width=1000, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""",0,0,0,did:plc:vovyzjmibw2lzetp5xsxh6p3,railmag.bsky.social,RAIL Magazine,0,0,0,2023-07-05T15:41:02.161Z,,False,,False,"""[]""",2025-07-04T13:33:42.376510Z,Vrai,"[0.00188321468885988, 0.9981168508529663]"
at://did:plc:7ooy3yqslvzsbn5q7fqtqbge/app.bsky.feed.post/3lt5e6cc3ys2i,https://bsky.app/profile/sylvia-suffragette.bsky.social/post/3lt5e6cc3ys2i,bafyreictjxk6ndnxu64lrst5a5p474ioyyvnlygyf5cmqkk27o3way4gzy,Reposting because no-one seems to use ALT text.  @zarahsultana.bsky.social @jeremycorbyn.bsky.social  First rule of this new party Use ALT Text,2025-07-04T13:33:02.541Z,2025-07-04T13:33:08.842Z,"""images=[Image(alt=\""Today, after 14 years, I'm resigning from the Labour Party.\\nJeremy Corbyn and I will co-lead the founding of a new party, with other Independent MPs, campaigners and activists across the country.\\nWestminster is broken but the real crisis is deeper. Just 50 families now own more wealth than half the UK population. Poverty is growing, inequality is obscene and the two-party system offers nothing but managed decline and broken promises.\\nA year ago, I was suspended by the Labour Party for voting to abolish the two-child benefit cap and lift 400,000 children out of poverty. I'd do it again. I voted against scrapping winter fuel payments for pensioners. I'd do it again.\\nNow, the government wants to make disabled people suffer; they just can't decide how much.\\nMeanwhile, a billionaire-backed grifter is leading the polls, because Labour has completely failed to improve people's lives. And across the political establishment, from Farage to Starmer, they smear people of conscience trying to stop a genocide in Gaza as terrorists.\\nBut the truth is clear: this government is an active participant in genocide. And the British people oppose it.\\nWe are not going to take this anymore.\\nWe're not an island of strangers; we're an island that's suffering. We need homes and lives we can actually afford, not rip-off bills we pay every month to a tiny elite bathing in cash. We need our money spent on public services, not forever wars.\\nIn 2029, the choice will be stark: socialism or barbarism.\\nBillionaires already have three parties fighting for them. It's time the rest of us had one.\\nJoin us. The time is now.\\nZARAH SULTANA MP MP for Coventry South\"", image=BlobRef(mime_type='image/jpeg', size=435517, ref=IpldLink(link='bafkreiamtr3j2zgp3bayza2y53vfowxx7wyhfudu6fmkylw6pd7jl57tsq'), py_type='blob'), aspect_ratio=AspectRatio(height=1080, width=1080, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='Real change is coming.\\nOne year on from the election, this Labour government has refused to deliver the change people expected and deserved.\\nPoverty, inequality and war are not inevitable. Our country needs to change direction, now.\\nCongratulations to Zarah Sultana on her principled decision to leave the Labour Party. I am delighted that she will help us build a real alternative.\\nThe democratic foundations of a new kind of political party will soon take shape. Discussions are ongoing - and I am excited to work alongside all communities to fight for the future people deserve.\\nTogether, we can create something that is desperately missing from our broken political system: hope.\\nJeremy Corbyn\\nMP for Islington North', image=BlobRef(mime_type='image/jpeg', size=426512, ref=IpldLink(link='bafkreihocknclz4npjflairgkyb7bqjoxllmixm3fdbhamsbtrbrcjvznq'), py_type='blob'), aspect_ratio=AspectRatio(height=1441, width=1408, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""",0,0,0,did:plc:7ooy3yqslvzsbn5q7fqtqbge,sylvia-suffragette.bsky.social,Sylvia,0,0,0,2024-02-06T21:09:15.721Z,,False,,False,"""[]""",2025-07-04T13:33:42.376802Z,Vrai,"[0.009576711803674698, 0.990423321723938]"
at://did:plc:um2z3o3ilgtetao3le7gtxll/app.bsky.feed.post/3lt5e647sa227,https://bsky.app/profile/vintagesoulman.bsky.social/post/3lt5e647sa227,bafyreidottlwyguoqq55cukkeblr4gz4hgnb4jrwvy7vquud4fx2i25624,"- The Age of Surveillance Capitalism by Shoshana Zuboff  #readingsky #capitalism #surveillancecapitalism #resist  ""They also take advantage of their corporate standing to dabble in human experimentation and political influence...""  www.youtube.com/watch?v=Vo6K...",2025-07-04T13:32:56.184Z,2025-07-04T13:32:58.237Z,"""external=External(description='YouTube video by Democracy Now!', title='Age of Surveillance Capitalism: \u201cWe Thought We Were Searching Google, But Google Was Searching Us\u201d', uri='https://www.youtube.com/watch?v=Vo6K-bPh39M', thumb=BlobRef(mime_type='image/jpeg', size=588245, ref=IpldLink(link='bafkreiarieavpblggyhhjeztpextxuvduxccyh734m2enqtmkb333jazce'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:um2z3o3ilgtetao3le7gtxll,vintagesoulman.bsky.social,Vintage Soulman,0,0,0,2025-05-26T22:51:38.541Z,,False,,False,"""[]""",2025-07-04T13:33:42.376960Z,Vrai,"[0.0009735934436321259, 0.9990264177322388]"
at://did:plc:gq2eyn3temzpbiqmbefha44k/app.bsky.feed.post/3lt5e63flec2s,https://bsky.app/profile/stacylymb.bsky.social/post/3lt5e63flec2s,bafyreigyfcbsjkas3pkefh4wq3mhugrcac4ones65se5m7oxgoq3ddhh2q,"Respectfully, an Independent country doesn’t foster concentration camps on our soil, kidnapping & trafficking people off the streets by masked vigilantes, dismissing political assassinations of elected officials in their homes, a complicit SCOTUS, a propagandized media, & an incentivized oligarchy.",2025-07-04T13:32:55.325Z,2025-07-04T13:32:56.039Z,{},0,0,0,did:plc:gq2eyn3temzpbiqmbefha44k,stacylymb.bsky.social,Stacy L,0,0,0,2024-11-13T17:14:43.780Z,,False,,False,"""[]""",2025-07-04T13:33:42.377039Z,Vrai,"[0.004127539694309235, 0.995872437953949]"
at://did:plc:ysivokyoj6muawdegrdqpgph/app.bsky.feed.post/3lt5e62fymk2k,https://bsky.app/profile/bentripp.bsky.social/post/3lt5e62fymk2k,bafyreih6ejytjh75awar4raobbp376245njjbklensu4vjtp4lepfnprba,"Mainstream, reactionary political journalism's anti-leftist play is simple: Generate controversy. Demand the target respond. Keep them on the defensive. turn mistakes into flaws, inferences into certitudes, and ideals into immaturity.   Every progressive politician has been through this.",2025-07-04T13:32:54.290Z,2025-07-04T13:32:54.842Z,{},0,0,0,did:plc:ysivokyoj6muawdegrdqpgph,bentripp.bsky.social,Ben Tripp,0,0,0,2024-11-15T13:01:40.827Z,,False,,False,"""[]""",2025-07-04T13:33:42.378701Z,Vrai,"[0.0023825783282518387, 0.9976174235343933]"
at://did:plc:qnbs5fttynxzntslmxj7u5pd/app.bsky.feed.post/3lt5e5yvulc2k,https://bsky.app/profile/rapt-99.bsky.social/post/3lt5e5yvulc2k,bafyreicmnktiu547n3diy3qup5pcoijagiihf5tjorl72dxfgoywvlhepe,CNN’s senior political analyst on CNN Europe Mark Preston should be working for Trump. He sounds like his personal cheerleader. We’re he saying some of the things in the US he parrots￼ in Europe he would be pilloried.,2025-07-04T13:32:52.713Z,2025-07-04T13:32:53.536Z,{},0,0,0,did:plc:qnbs5fttynxzntslmxj7u5pd,rapt-99.bsky.social,Martin Dillon,0,0,0,2024-11-15T16:43:28.230Z,,False,,False,"""[]""",2025-07-04T13:33:42.378788Z,Vrai,"[0.1997697651386261, 0.8002302646636963]"
at://did:plc:3tlxflxj4ffjrbflgygrws66/app.bsky.feed.post/3lt5e5ez5lc23,https://bsky.app/profile/transparency-eu.bsky.social/post/3lt5e5ez5lc23,bafyreidrxviuvliz7i7bs7fx7gzzidfaxoq2dyzwivr3jj6fzon2cqb5fm,"This comes as no surprise, given that the European Parliament has delegated management of finances to political groups (with little to no oversight) who are often embroiled in fraud themselves.",2025-07-04T13:32:31.832Z,2025-07-04T13:32:31.768Z,{},0,0,1,did:plc:3tlxflxj4ffjrbflgygrws66,transparency-eu.bsky.social,Transparency International EU,0,0,0,2023-11-08T16:05:18.793Z,,False,,False,"""[]""",2025-07-04T13:33:42.382317Z,Vrai,"[0.0027940059080719948, 0.9972060322761536]"
at://did:plc:ma3rcnvtw7y7tkvc2yl6jjcs/app.bsky.feed.post/3lt5e55yvsc2j,https://bsky.app/profile/retroachievements.org/post/3lt5e55yvsc2j,bafyreiacnakshsg3us5kq5avh4hzulanfkuk5ooyamfuobwpdpox3mwb2m,"Make every critical social, economic, and political decision as you build an empire to span history while competing against the greatest leaders of all time!  You can now play ""Civilization II"" for the PlayStation with achievements over at RetroAchievements.  retroachievements.org/game/13902",2025-07-04T13:32:24.501Z,2025-07-04T13:32:28.537Z,"""external=External(description='There are 69 achievements worth 618 points. Civilization II for PlayStation - explore and compete on this classic game at RetroAchievements.', title='Civilization II (PlayStation)', uri='https://retroachievements.org/game/13902', thumb=BlobRef(mime_type='image/jpeg', size=819695, ref=IpldLink(link='bafkreidvfzmqepu47px64gyctubx52xfqe75s7mfoakkchw4aivktmtclu'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'""",0,0,0,did:plc:ma3rcnvtw7y7tkvc2yl6jjcs,retroachievements.org,RetroAchievements,0,0,0,2025-03-13T13:08:08.551Z,,False,,False,"""[]""",2025-07-04T13:33:42.382513Z,Vrai,"[0.004840643145143986, 0.9951593279838562]"
at://did:plc:ma2kj7nfuznbhrcyhfzurppv/app.bsky.feed.post/3lt5e4qetp22j,https://bsky.app/profile/davidbennun.bsky.social/post/3lt5e4qetp22j,bafyreifjnlkivkd3xom6a47pa5ffmkljvana3qge3n5eq7iufca2diautu,"This may well be true, but the grifters who can connect with them lie to the right of the Tories - I could be wrong (political predictions are more of a mug's game than ever before), but I don't see this lot making any headway with them.",2025-07-04T13:32:10.213Z,2025-07-04T13:32:10.841Z,{},0,0,0,did:plc:ma2kj7nfuznbhrcyhfzurppv,davidbennun.bsky.social,David Bennun,0,0,0,2024-11-19T10:03:31.904Z,,False,,False,"""[]""",2025-07-04T13:33:42.383729Z,Vrai,"[0.00296782492659986, 0.9970321655273438]"
